"codpanelista2","wave","sex","age","education","femindexa","femindexb","femindexc","femindexd","femindexe","femindexf","femindexg","femindexh","femindexi","immigeco","immicult","polintr","constpref","populisma","populismd","populismf","populismi","populismj","populismn","lrself","femstrike","femdemonstrate","feminfo","femtalk","vote2016","voteintentionspain","hhincome","livingpartner","indeprespect","curiosmanners","selfconfobed","empathybehave","idcode","time","nwaves","year","female","age4","cohort","g3cohort","edu3","edu3_1","edu3_2","edu3_3","hincome","hincome17all","hincome18all","hincome19all","hincome20all","hincome_all","x3hincall","dhincome_all","intpol","dintpol","ideol","ideo5","a_respect","a_manner","a_behave","a_obedient","authoritarian","natveco","natvcult","nativism","ip_populisma","ip_populismd","ip_populismf","ip_populismi","ip_populismj","ip_populismn","pop6amz","orgterr","imsex_1a","imsex_2b","imsex_3c","imsex_4d","imsex_5e","imsex_6f","imsex_7g","imsex_8h","imsex_9i","msexism","swim_msex","p8m_strike","p8m_demonst","p8m_mobiliz","p8m_talked","ip8m","vim_vox","vim_pp","rv16all","t1edu3","t1x3hincall","t1dintpol","t1ideo5","t1rv16all","t2partner","t2ip8m","l2vim_vox","lsvim_vox","l2authoritarian","lsauthoritarian","l2ideol","lsideol","l2nativism","lsnativism","l2orgterr","lsorgterr","l2pop6amz","lspop6amz","l2msexism","lsmsexism","l2swim_msex","lsswim_msex","posmsex","negmsex","posswim","negswim"
3,9,2,33,3,3,6,2,4,3,7,6,3,2,4,7,2,2,4,4,4,2,5,5,5,NA,NA,NA,NA,1,4,3,NA,2,2,2,1,3,0,4,2017,1,2,33,2,1,1,0,0,3,3,3,4,3,3,1,0.181818187236786,0.666666686534882,1,0.5,3,1,1,0,0,0.5,0.600000023841858,0.699999988079071,0.649999976158142,0.5,0.5,0.5,0.16666667163372,0.666666686534882,0.666666686534882,0.5,0.25,3,2,2,4,3,1,2,3,2,0.240740731358528,0.25,NA,NA,NA,NA,NA,0,0,1,1,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,2,34,3,2,5,3,2,3,7,6,3,1,5,4,1,1,5,5,5,1,4,2,5,1,1,1,1,1,4,3,1,2,2,2,1,3,1,4,2018,1,2,33,2,1,1,0,0,3,3,3,4,3,3,1,0.181818187236786,1,1,0.5,3,1,1,0,0,0.5,0.5,0.400000005960464,0.449999988079071,0.666666686534882,0.666666686534882,0.666666686534882,0,0.5,0.16666667163372,0.444444447755814,0,2,3,3,2,3,1,2,3,1,0.203703716397285,0.22916667163372,1,1,1,1,1,0,0,1,1,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,11,2,35,3,4,3,4,4,4,2,4,4,4,4,7,1,1,5,4,5,2,5,6,6,2,2,1,1,NA,23,4,0,2,1,2,1,3,2,4,2019,1,2,33,2,1,1,0,0,4,3,3,4,3,4,1,0.272727280855179,1,1,0.600000023841858,4,1,0,0,0,0.25,0.600000023841858,0.699999988079071,0.649999976158142,0.666666686534882,0.5,0.666666686534882,0.16666667163372,0.666666686534882,0.833333313465118,0.583333313465118,0,4,5,4,4,4,6,4,4,4,0.555555582046509,0.5625,0,0,1,1,0.5,1,0,1,1,1,1,3,1,1,1,0,0,0.5,0,0.5,0,0.649999976158142,-0.199999988079071,0.25,-0.25,0.5,-0.0555555522441864,0.240740731358528,-0.0370370149612427,0.25,-0.0208333283662796,0,-0.0370370149612427,0,-0.0208333283662796
3,12,2,36,3,3,5,3,3,4,5,5,4,4,3,8,1,2,5,4,4,2,5,5,5,2,2,2,1,NA,23,3,1,2,1,2,1,3,3,4,2020,1,3,33,2,1,1,0,0,3,3,3,4,3,3,1,0.181818187236786,1,1,0.5,3,1,0,0,0,0.25,0.699999988079071,0.800000011920929,0.75,0.666666686534882,0.5,0.5,0.16666667163372,0.666666686534882,0.666666686534882,0.527777791023254,0.25,3,3,3,3,4,3,3,4,4,0.388888865709305,0.375,0,0,0,1,0.25,1,0,1,1,1,1,3,1,1,1,0,1,0.5,-0.25,0.5,0.100000023841858,0.449999988079071,0.199999988079071,0,0,0.444444447755814,0.138888865709305,0.203703716397285,0.351851880550385,0.22916667163372,0.333333313465118,0.351851880550385,0,0.333333313465118,0
5,9,1,27,8,1,2,2,2,2,5,5,3,2,8,2,4,5,2,2,3,2,2,2,5,NA,NA,NA,NA,50,54,99,NA,2,1,2,2,5,0,4,2017,0,2,27,1,3,0,0,1,NA,7,7,7,8,7,2,0.545454561710358,0,0,0.5,3,1,0,1,0,0.5,0.200000002980232,0.200000002980232,0.200000002980232,0.16666667163372,0.16666667163372,0.333333343267441,0.16666667163372,0.16666667163372,0.16666667163372,0.194444447755814,1,1,6,2,2,2,3,3,3,2,0.277777791023254,0.291666656732559,NA,NA,NA,NA,NA,0,0,4,3,2,0,3,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,10,1,28,8,2,6,2,2,2,5,5,4,1,7,4,3,5,5,4,5,6,5,7,3,2,2,2,2,NA,54,99,1,2,1,2,2,5,1,4,2018,0,2,27,1,3,0,0,1,NA,7,7,7,8,7,2,0.545454561710358,0.333333343267441,0,0.300000011920929,2,1,0,1,0,0.5,0.300000011920929,0.400000005960464,0.350000023841858,0.666666686534882,0.5,0.666666686534882,0.833333313465118,0.666666686534882,1,0.722222208976746,1,2,2,2,2,2,3,3,4,1,0.222222208976746,0.25,0,0,0,0,0,0,0,4,3,2,0,3,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,11,1,29,8,2,6,1,2,2,5,5,3,2,7,4,3,5,5,4,4,5,3,6,5,2,2,2,2,NA,7,7,1,2,2,2,1,5,2,4,2019,0,2,27,1,3,0,0,1,7,7,7,7,8,7,2,0.545454561710358,0.333333343267441,0,0.5,3,1,1,0,0,0.5,0.300000011920929,0.400000005960464,0.350000023841858,0.666666686534882,0.5,0.5,0.666666686534882,0.333333343267441,0.833333313465118,0.583333313465118,1,2,2,1,2,2,3,3,3,2,0.203703716397285,0.20833332836628,0,0,0,0,0,0,0,4,3,2,0,3,4,1,0,0,0,0.5,0,0.5,-0.199999988079071,0.200000002980232,0.150000020861626,1,0,0.194444447755814,0.527777791023254,0.277777791023254,-0.0555555820465088,0.291666656732559,-0.0416666567325592,0,-0.0555555820465088,0,-0.0416666567325592
5,12,1,30,8,2,5,5,2,3,6,5,3,3,7,5,3,5,5,5,4,5,3,6,5,2,2,2,2,NA,55,8,1,2,2,2,2,5,3,4,2020,0,2,27,1,3,0,0,1,8,7,7,7,8,8,2,0.636363625526428,0.333333343267441,0,0.5,3,1,1,1,0,0.75,0.300000011920929,0.5,0.400000005960464,0.666666686534882,0.666666686534882,0.5,0.666666686534882,0.333333343267441,0.833333313465118,0.611111104488373,1,2,3,5,2,3,2,3,3,3,0.314814805984497,0.3125,0,0,0,0,0,0,0,4,3,2,0,3,4,1,0,0,0,0.5,0,0.300000011920929,0.199999988079071,0.350000023841858,0,1,0,0.722222208976746,-0.138888895511627,0.222222208976746,-0.0185184925794601,0.25,-0.0416666716337204,0,-0.0185184925794601,0,-0.0416666716337204
8,9,2,35,8,4,4,4,4,4,4,5,4,4,7,2,4,1,5,4,4,7,5,7,5,NA,NA,NA,NA,NA,4,7,NA,2,2,2,1,8,0,1,2017,1,2,35,2,3,0,0,1,7,7,7,7,7,7,2,0.545454561710358,0,0,0.5,3,1,1,0,0,0.5,0.300000011920929,0.200000002980232,0.25,0.666666686534882,0.5,0.5,1,0.666666686534882,1,0.722222208976746,0,4,4,4,4,4,4,3,4,4,0.481481462717056,0.479166656732559,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,9,2,26,10,3,4,3,4,4,4,5,4,5,5,10,4,3,4,4,6,4,4,7,2,NA,NA,NA,NA,3,53,4,NA,2,2,2,1,10,0,4,2017,1,2,26,1,3,0,0,1,4,4,4,7,7,4,1,0.272727280855179,0,0,0.200000002980232,1,1,1,0,0,0.5,0.5,1,0.75,0.5,0.5,0.833333313465118,0.5,0.5,1,0.638888895511627,0.5,3,4,3,4,4,4,3,4,5,0.462962955236435,0.4375,NA,NA,NA,NA,NA,0,0,2,3,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10,2,27,10,4,5,4,4,3,5,5,4,4,0,10,4,2,4,4,4,4,4,4,3,2,2,2,2,NA,53,4,0,1,1,1,1,10,1,4,2018,1,2,26,1,3,0,0,1,4,4,4,7,7,4,1,0.272727280855179,0,0,0.300000011920929,2,0,0,0,1,0.25,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,4,3,4,4,3,3,3,4,4,0.425925940275192,0.416666656732559,0,0,0,0,0,0,0,2,3,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,11,2,28,10,3,5,3,3,4,5,4,5,3,3,6,4,2,4,4,5,4,4,7,3,2,2,2,2,NA,1,7,0,2,1,1,1,10,2,4,2019,1,2,26,1,3,0,0,1,7,4,4,7,7,7,2,0.545454561710358,0,0,0.300000011920929,2,1,0,0,1,0.5,0.699999988079071,0.600000023841858,0.649999976158142,0.5,0.5,0.666666686534882,0.5,0.5,1,0.611111104488373,0.25,3,3,3,3,4,3,4,5,3,0.407407402992249,0.416666656732559,0,0,0,0,0,0,0,2,3,1,0,1,2,0,0,0,0,0.5,-0.25,0.200000002980232,0.100000008940697,0.75,0.25,0.5,-0.25,0.638888895511627,-0.138888895511627,0.462962955236435,-0.0370370149612427,0.4375,-0.0208333432674408,0,-0.0370370149612427,0,-0.0208333432674408
10,12,2,29,10,4,4,4,3,4,5,5,4,4,0,10,4,1,4,4,4,4,4,7,3,2,2,2,2,NA,55,7,0,1,1,2,1,10,3,4,2020,1,2,26,1,3,0,0,1,7,4,4,7,7,7,2,0.545454561710358,0,0,0.300000011920929,2,0,0,0,0,0,1,1,1,0.5,0.5,0.5,0.5,0.5,1,0.583333313465118,0,4,4,4,3,4,3,3,4,4,0.444444447755814,0.4375,0,0,0,0,0,0,0,2,3,1,0,1,2,0,0,0,0,0.25,0.25,0.300000011920929,0,1,-0.350000023841858,0.25,0,0.5,0.111111104488373,0.425925940275192,-0.0185185372829437,0.416666656732559,0,0,-0.0185185372829437,0,0
14,9,1,43,8,1,7,1,1,2,7,7,1,1,8,2,2,4,7,2,5,6,6,6,3,NA,NA,NA,NA,3,3,8,NA,1,1,2,1,14,0,1,2017,0,3,43,2,3,0,0,1,8,8,8,8,8,8,2,0.636363625526428,0.666666686534882,1,0.300000011920929,2,0,0,0,0,0,0.200000002980232,0.200000002980232,0.200000002980232,1,0.16666667163372,0.666666686534882,0.833333313465118,0.833333313465118,0.833333313465118,0.722222208976746,0.75,1,1,1,1,2,1,1,1,1,0.018518527969718,0.020833333954215,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,9,1,50,3,4,3,4,5,5,4,4,4,3,1,6,2,3,7,4,5,4,5,5,2,NA,NA,NA,NA,1,1,5,NA,2,2,2,1,16,0,1,2017,0,4,50,3,1,1,0,0,5,5,5,5,5,5,1,0.363636374473572,0.666666686534882,1,0.200000002980232,1,1,1,0,0,0.5,0.899999976158142,0.600000023841858,0.75,1,0.5,0.666666686534882,0.5,0.666666686534882,0.666666686534882,0.666666686534882,0.5,4,5,4,5,5,4,4,4,3,0.537037074565887,0.5625,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,9,2,36,3,4,4,4,4,4,4,4,4,4,8,7,3,2,4,4,4,4,4,4,3,NA,NA,NA,NA,56,4,99,NA,2,2,2,2,17,0,3,2017,1,3,36,2,1,1,0,0,NA,2,2,5,5,2,1,0.090909093618393,0.333333343267441,0,0.300000011920929,2,1,1,1,0,0.75,0.200000002980232,0.699999988079071,0.449999988079071,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,4,4,4,4,4,4,4,4,4,0.5,0.5,NA,NA,NA,NA,NA,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,10,2,37,3,4,5,6,6,6,6,6,5,5,3,2,3,2,7,7,7,7,7,2,2,2,2,2,2,NA,54,2,1,2,2,2,2,17,1,3,2018,1,3,36,2,1,1,0,0,2,2,2,5,5,2,1,0.090909093618393,0.333333343267441,0,0.200000002980232,1,1,1,1,0,0.75,0.699999988079071,0.200000002980232,0.449999988079071,1,1,1,1,1,0.16666667163372,0.861111104488373,0.25,4,3,6,6,6,2,2,5,5,0.555555582046509,0.541666686534882,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,11,2,38,3,7,7,1,1,1,7,7,7,1,9,9,3,3,7,6,5,1,1,7,9,1,1,2,1,NA,1,5,1,2,2,1,1,17,2,3,2019,1,3,36,2,1,1,0,0,5,2,2,5,5,5,1,0.363636374473572,0.333333343267441,0,0.899999976158142,5,1,1,0,1,0.75,0.100000001490116,0.899999976158142,0.5,1,0.833333313465118,0.666666686534882,0,0,1,0.583333313465118,0.5,7,1,1,1,1,1,1,7,1,0.222222208976746,0.25,1,1,0,1,0.75,0,0,4,NA,NA,NA,NA,NA,NA,NA,0,0,0.75,0,0.300000011920929,-0.100000008940697,0.449999988079071,0,0.25,0,0.5,0.361111104488373,0.5,0.0555555820465088,0.5,0.0416666865348816,0.0555555820465088,0,0.0416666865348816,0
19,9,2,45,11,2,6,3,3,1,6,6,3,2,2,9,3,2,2,3,2,2,2,6,5,NA,NA,NA,NA,56,53,7,NA,2,2,2,2,19,0,1,2017,1,3,45,3,3,0,0,1,7,7,7,7,7,7,2,0.545454561710358,0.333333343267441,0,0.5,3,1,1,1,0,0.75,0.800000011920929,0.899999976158142,0.850000023841858,0.16666667163372,0.333333343267441,0.16666667163372,0.16666667163372,0.16666667163372,0.833333313465118,0.305555552244186,0.25,2,2,3,3,1,2,2,3,2,0.203703716397285,0.20833332836628,NA,NA,NA,NA,NA,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,9,2,26,11,2,5,1,1,1,4,6,3,1,5,5,4,3,3,1,4,1,1,7,6,NA,NA,NA,NA,NA,53,99,NA,2,1,2,1,20,0,2,2017,1,2,26,1,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.600000023841858,4,1,0,0,0,0.25,0.5,0.5,0.5,0.333333343267441,0,0.5,0,0,1,0.305555552244186,0.5,2,3,1,1,1,4,2,3,1,0.16666667163372,0.1875,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,10,2,27,11,2,5,1,2,2,4,5,5,2,8,4,3,2,1,2,1,2,1,7,5,2,2,2,2,NA,54,99,0,2,1,2,1,20,1,2,2018,1,2,26,1,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0.333333343267441,0,0.5,3,1,0,0,0,0.25,0.200000002980232,0.400000005960464,0.300000011920929,0,0.16666667163372,0,0.16666667163372,0,1,0.222222223877907,0.25,2,3,1,2,2,4,3,5,2,0.277777791023254,0.291666656732559,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,9,1,29,8,4,4,4,4,4,4,4,4,4,5,5,2,3,4,4,4,4,4,4,5,NA,NA,NA,NA,2,54,5,NA,2,2,1,1,21,0,4,2017,0,2,29,1,3,0,0,1,5,5,7,6,6,5,1,0.363636374473572,0.666666686534882,1,0.5,3,1,1,0,1,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,4,4,4,4,4,4,4,4,0.5,0.5,NA,NA,NA,NA,NA,0,0,0,3,1,1,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,10,1,30,5,4,4,4,4,4,4,4,4,4,5,5,2,3,4,4,4,4,4,4,5,2,2,2,2,1,4,7,1,2,2,2,1,21,1,4,2018,0,2,29,1,2,0,1,0,7,5,7,6,6,7,2,0.545454561710358,0.666666686534882,1,0.5,3,1,1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,4,4,4,4,4,4,4,4,0.5,0.5,0,0,0,0,0,0,0,0,3,1,1,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,11,1,31,5,4,4,4,4,4,4,4,4,4,5,5,2,3,4,4,4,4,4,4,5,2,2,2,2,NA,2,6,1,2,2,1,1,21,2,4,2019,0,2,29,1,2,0,1,0,6,5,7,6,6,6,2,0.454545468091965,0.666666686534882,1,0.5,3,1,1,0,1,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,4,4,4,4,4,4,4,4,0.5,0.5,0,0,0,0,0,0,1,0,3,1,1,3,0,1,0,0,0,0.75,-0.25,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0
21,12,1,32,5,4,4,4,4,4,4,4,4,4,5,5,3,3,4,4,4,5,5,7,5,2,2,2,2,NA,2,6,1,1,2,2,1,21,3,4,2020,0,2,29,1,2,0,1,0,6,5,7,6,6,6,2,0.454545468091965,0.333333343267441,0,0.5,3,0,1,0,0,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.666666686534882,0.666666686534882,1,0.638888895511627,0.5,4,4,4,4,4,4,4,4,4,0.5,0.5,0,0,0,0,0,0,1,0,3,1,1,3,0,1,0,0,0,0.5,0.25,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0
22,9,2,45,9,2,6,3,1,1,6,6,2,1,7,5,3,4,5,6,3,5,5,7,2,NA,NA,NA,NA,4,4,6,NA,1,1,2,1,22,0,4,2017,1,3,45,3,3,0,0,1,6,6,6,6,7,6,2,0.454545468091965,0.333333343267441,0,0.200000002980232,1,0,0,0,0,0,0.300000011920929,0.5,0.400000005960464,0.666666686534882,0.833333313465118,0.333333343267441,0.666666686534882,0.666666686534882,1,0.694444477558136,0.75,2,2,3,1,1,2,2,2,1,0.129629626870155,0.14583332836628,NA,NA,NA,NA,NA,0,0,3,3,2,0,1,3,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,10,2,46,9,2,6,2,1,2,6,6,3,2,5,5,3,4,6,4,2,6,5,7,2,2,1,2,2,4,4,6,0,2,1,2,1,22,1,4,2018,1,4,45,3,3,0,0,1,6,6,6,6,7,6,2,0.454545468091965,0.333333343267441,0,0.200000002980232,1,1,0,0,0,0.25,0.5,0.5,0.5,0.833333313465118,0.5,0.16666667163372,0.833333313465118,0.666666686534882,1,0.666666686534882,0.75,2,2,2,1,2,2,2,3,2,0.16666667163372,0.16666667163372,0,1,0,0,0.25,0,0,3,3,2,0,1,3,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,11,2,47,9,1,5,3,1,1,6,6,3,2,6,3,3,3,6,4,6,6,6,6,2,2,2,2,2,NA,4,6,0,2,1,2,1,22,2,4,2019,1,4,45,3,3,0,0,1,6,6,6,6,7,6,2,0.454545468091965,0.333333343267441,0,0.200000002980232,1,1,0,0,0,0.25,0.400000005960464,0.300000011920929,0.350000023841858,0.833333313465118,0.5,0.833333313465118,0.833333313465118,0.833333313465118,0.833333313465118,0.777777791023254,0.5,1,3,3,1,1,2,2,3,2,0.16666667163372,0.16666667163372,0,0,0,0,0,0,0,3,3,2,0,1,3,0,0.25,0,0,0,0.25,0.200000002980232,0,0.400000005960464,0.0999999940395355,0.75,0,0.694444477558136,-0.0277777910232544,0.129629626870155,0.0370370447635651,0.14583332836628,0.0208333432674408,0.0370370447635651,0,0.0208333432674408,0
22,12,2,48,9,5,4,3,2,2,4,6,5,2,5,6,3,3,5,4,5,4,5,6,2,2,2,2,2,NA,1,7,0,2,2,2,1,22,3,4,2020,1,4,45,3,3,0,0,1,7,6,6,6,7,7,2,0.545454561710358,0.333333343267441,0,0.200000002980232,1,1,1,0,0,0.5,0.5,0.600000023841858,0.550000011920929,0.666666686534882,0.5,0.666666686534882,0.5,0.666666686534882,0.833333313465118,0.638888895511627,0.5,5,4,3,2,2,4,2,5,2,0.370370388031006,0.395833343267441,0,0,0,0,0,0,0,3,3,2,0,1,3,0,0.25,0,0,0.25,0,0.200000002980232,0,0.5,-0.149999976158142,0.75,-0.25,0.666666686534882,0.111111104488373,0.16666667163372,0,0.16666667163372,0,0,0,0,0
23,11,1,52,11,3,3,3,3,3,3,3,4,3,7,7,2,4,4,4,4,4,4,5,5,2,2,2,2,NA,54,10,1,1,2,2,1,23,2,2,2019,0,4,50,3,3,0,0,1,10,10,10,10,9,10,3,0.818181812763214,0.666666686534882,1,0.5,3,0,1,0,0,0.25,0.300000011920929,0.699999988079071,0.5,0.5,0.5,0.5,0.5,0.5,0.666666686534882,0.527777791023254,0.75,3,5,3,3,3,5,5,4,3,0.462962955236435,0.479166656732559,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,12,1,53,11,4,4,4,4,4,4,4,5,4,8,8,2,3,5,4,4,4,5,5,5,2,2,2,2,NA,53,9,1,1,1,2,1,23,3,2,2020,0,4,50,3,3,0,0,1,9,10,10,10,9,9,3,0.727272748947144,0.666666686534882,1,0.5,3,0,0,0,0,0,0.200000002980232,0.800000011920929,0.5,0.666666686534882,0.5,0.5,0.5,0.666666686534882,0.666666686534882,0.583333373069763,0.5,4,4,4,4,4,4,4,5,4,0.518518507480621,0.520833313465118,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,9,1,28,10,2,5,2,3,3,5,5,4,2,8,7,2,4,5,5,5,4,4,6,3,NA,NA,NA,NA,3,3,99,NA,2,1,2,1,25,0,4,2017,0,2,28,1,3,0,0,1,NA,8,8,8,8,8,2,0.636363625526428,0.666666686534882,1,0.300000011920929,2,1,0,0,0,0.25,0.200000002980232,0.699999988079071,0.449999988079071,0.666666686534882,0.666666686534882,0.666666686534882,0.5,0.5,0.833333313465118,0.638888895511627,0.75,2,3,2,3,3,3,3,4,2,0.296296268701553,0.3125,NA,NA,NA,NA,NA,0,0,2,3,2,1,2,2,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,10,1,29,10,2,7,2,2,2,6,6,4,2,5,0,2,4,6,6,6,5,4,6,4,2,2,1,1,5,5,99,1,2,2,2,1,25,1,4,2018,0,2,28,1,3,0,0,1,NA,8,8,8,8,8,2,0.636363625526428,0.666666686534882,1,0.400000005960464,2,1,1,0,0,0.5,0.5,0,0.25,0.833333313465118,0.833333313465118,0.833333313465118,0.666666686534882,0.5,0.833333313465118,0.75,0.75,2,1,2,2,2,2,2,4,2,0.185185194015503,0.1875,0,0,1,1,0.5,0,0,2,3,2,1,2,2,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,11,1,30,10,2,6,2,6,4,7,6,5,2,8,8,2,4,4,4,4,4,4,4,2,2,2,2,2,NA,3,8,1,1,1,2,1,25,2,4,2019,0,2,28,1,3,0,0,1,8,8,8,8,8,8,2,0.636363625526428,0.666666686534882,1,0.200000002980232,1,0,0,0,0,0,0.200000002980232,0.800000011920929,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,2,2,2,6,4,1,2,5,2,0.314814805984497,0.333333343267441,0,0,0,0,0,0,0,2,3,2,1,2,2,1,0.5,0,0,0.25,0.25,0.300000011920929,0.0999999940395355,0.449999988079071,-0.199999988079071,0.75,0,0.638888895511627,0.111111104488373,0.296296268701553,-0.11111107468605,0.3125,-0.125,0,-0.11111107468605,0,-0.125
25,12,1,31,10,2,6,2,2,3,6,6,3,2,9,2,2,3,4,3,5,4,2,4,3,2,2,2,2,NA,3,8,1,1,1,2,1,25,3,4,2020,0,2,28,1,3,0,0,1,8,8,8,8,8,8,2,0.636363625526428,0.666666686534882,1,0.300000011920929,2,0,0,0,0,0,0.100000001490116,0.200000002980232,0.150000005960464,0.5,0.333333343267441,0.666666686534882,0.5,0.16666667163372,0.5,0.444444447755814,0.5,2,2,2,2,3,2,2,3,2,0.203703716397285,0.20833332836628,0,0,0,0,0,0,0,2,3,2,1,2,2,1,0.5,0,0,0.5,-0.5,0.400000005960464,-0.200000002980232,0.25,0.25,0.75,0,0.75,-0.25,0.185185194015503,0.129629611968994,0.1875,0.145833343267441,0.129629611968994,0,0.145833343267441,0
26,11,2,48,3,2,6,2,2,3,6,7,5,3,7,7,3,3,2,2,4,4,6,6,3,1,1,1,1,NA,1,99,1,2,1,2,1,26,2,1,2019,1,4,46,3,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.333333343267441,0,0.300000011920929,2,1,0,0,0,0.25,0.300000011920929,0.699999988079071,0.5,0.16666667163372,0.16666667163372,0.5,0.5,0.833333313465118,0.833333313465118,0.5,0.5,2,2,2,2,3,2,1,5,3,0.240740731358528,0.22916667163372,1,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,9,2,45,11,3,6,3,2,2,5,4,4,3,1,7,4,3,4,4,4,4,4,5,5,NA,NA,NA,NA,NA,54,8,NA,2,2,2,2,31,0,4,2017,1,3,45,3,3,0,0,1,8,8,10,8,8,8,2,0.636363625526428,0,0,0.5,3,1,1,1,0,0.75,0.899999976158142,0.699999988079071,0.799999952316284,0.5,0.5,0.5,0.5,0.5,0.666666686534882,0.527777791023254,0.5,3,2,3,2,2,3,4,4,3,0.314814805984497,0.3125,NA,NA,NA,NA,NA,0,0,3,3,2,0,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
