"codpanelista2","wave","sex","age","education","femindexa","femindexb","femindexc","femindexd","femindexe","femindexf","femindexg","femindexh","femindexi","immigeco","immicult","polintr","constpref","populisma","populismd","populismf","populismi","populismj","populismn","lrself","femstrike","femdemonstrate","feminfo","femtalk","vote2016","voteintentionspain","hhincome","livingpartner","indeprespect","curiosmanners","selfconfobed","empathybehave","idcode","time","nwaves","year","female","age4","cohort","g3cohort","edu3","edu3_1","edu3_2","edu3_3","hincome","hincome17all","hincome18all","hincome19all","hincome20all","hincome_all","x3hincall","dhincome_all","intpol","dintpol","ideol","ideo5","a_respect","a_manner","a_behave","a_obedient","authoritarian","natveco","natvcult","nativism","ip_populisma","ip_populismd","ip_populismf","ip_populismi","ip_populismj","ip_populismn","pop6amz","orgterr","imsex_1a","imsex_2b","imsex_3c","imsex_4d","imsex_5e","imsex_6f","imsex_7g","imsex_8h","imsex_9i","msexism","swim_msex","p8m_strike","p8m_demonst","p8m_mobiliz","p8m_talked","ip8m","vim_vox","vim_pp","rv16all","t1edu3","t1x3hincall","t1dintpol","t1ideo5","t1rv16all","t2partner","t2ip8m","l2vim_vox","lsvim_vox","l2authoritarian","lsauthoritarian","l2ideol","lsideol","l2nativism","lsnativism","l2orgterr","lsorgterr","l2pop6amz","lspop6amz","l2msexism","lsmsexism","l2swim_msex","lsswim_msex","posmsex","negmsex","posswim","negswim"
2665,11,2,45,10,1,7,1,1,2,7,7,2,1,8,5,3,5,6,6,5,3,3,6,3,2,2,2,2,NA,1,99,1,2,1,2,1,2665,2,4,2019,1,3,43,2,3,0,0,1,NA,5,5,5,8,5,1,0.363636374473572,0.333333343267441,0,0.300000011920929,2,1,0,0,0,0.25,0.200000002980232,0.5,0.349999994039536,0.833333313465118,0.833333313465118,0.666666686534882,0.333333343267441,0.333333343267441,0.833333313465118,0.638888895511627,1,1,1,1,1,2,1,1,2,1,0.0370370335876942,0.0416666679084301,0,0,0,0,0,0,0,1,3,1,0,2,1,1,0.25,0,0,0.25,0,0.400000005960464,-0.0999999940395355,0.25,0.25,1,0,0.555555582046509,0.0833333134651184,0.16666667163372,0.0555555373430252,0.1875,0.0416666716337204,0.0555555373430252,0,0.0416666716337204,0
2665,12,2,46,10,2,7,3,2,2,7,7,4,6,9,5,3,4,4,4,6,2,2,7,3,2,2,2,2,NA,55,8,1,2,1,2,1,2665,3,4,2020,1,4,43,2,3,0,0,1,8,5,5,5,8,8,2,0.636363625526428,0.333333343267441,0,0.300000011920929,2,1,0,0,0,0.25,0.100000001490116,0.5,0.300000011920929,0.5,0.5,0.833333313465118,0.16666667163372,0.16666667163372,1,0.527777791023254,0.75,2,1,3,2,2,1,1,4,6,0.240740731358528,0.16666667163372,0,0,0,0,0,0,0,1,3,1,0,2,1,1,0.25,0,0,0.25,0,0.300000011920929,0,0.5,-0.150000005960464,1,0,0.638888895511627,0,0.222222208976746,-0.185185179114342,0.22916667163372,-0.1875,0,-0.185185179114342,0,-0.1875
2666,9,2,37,8,1,6,2,1,1,6,7,2,1,5,7,2,2,5,3,7,5,5,7,5,NA,NA,NA,NA,4,4,7,NA,1,2,2,1,2666,0,4,2017,1,3,37,2,3,0,0,1,7,7,6,7,8,7,2,0.545454561710358,0.666666686534882,1,0.5,3,0,1,0,0,0.25,0.5,0.699999988079071,0.600000023841858,0.666666686534882,0.333333343267441,1,0.666666686534882,0.666666686534882,1,0.722222208976746,0.25,1,2,2,1,1,2,1,2,1,0.0740740671753883,0.0833333358168602,NA,NA,NA,NA,NA,0,0,3,3,2,1,3,3,1,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2666,10,2,38,8,2,7,3,2,2,6,7,4,3,5,6,2,2,5,3,6,6,4,7,5,2,1,1,1,4,4,6,1,2,1,2,1,2666,1,4,2018,1,3,37,2,3,0,0,1,6,7,6,7,8,6,2,0.454545468091965,0.666666686534882,1,0.5,3,1,0,0,0,0.25,0.5,0.600000023841858,0.550000011920929,0.666666686534882,0.333333343267441,0.833333313465118,0.833333313465118,0.5,1,0.694444417953491,0.25,2,1,3,2,2,2,1,4,3,0.203703716397285,0.1875,0,1,1,1,0.75,0,0,3,3,2,1,3,3,1,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2666,11,2,39,8,1,7,3,1,1,7,7,4,1,6,8,2,2,6,3,2,4,3,7,6,2,2,2,2,NA,4,7,1,2,1,2,1,2666,2,4,2019,1,3,37,2,3,0,0,1,7,7,6,7,8,7,2,0.545454561710358,0.666666686534882,1,0.600000023841858,4,1,0,0,0,0.25,0.400000005960464,0.800000011920929,0.600000023841858,0.833333313465118,0.333333343267441,0.16666667163372,0.5,0.333333343267441,1,0.527777791023254,0.25,1,1,3,1,1,1,1,4,1,0.0925925970077515,0.10416666418314,0,0,0,0,0,0,0,3,3,2,1,3,3,1,0.75,0,0,0.25,0,0.5,0,0.600000023841858,-0.050000011920929,0.25,0,0.722222208976746,-0.0277777910232544,0.0740740671753883,0.129629641771317,0.0833333358168602,0.10416666418314,0.129629641771317,0,0.10416666418314,0
2666,12,2,40,8,1,1,2,1,1,2,6,2,1,5,5,2,2,5,3,5,3,4,7,5,2,2,2,1,NA,55,8,1,2,2,2,1,2666,3,4,2020,1,3,37,2,3,0,0,1,8,7,6,7,8,8,2,0.636363625526428,0.666666686534882,1,0.5,3,1,1,0,0,0.5,0.5,0.5,0.5,0.666666686534882,0.333333343267441,0.666666686534882,0.333333343267441,0.5,1,0.583333373069763,0.25,1,7,2,1,1,6,2,2,1,0.259259253740311,0.291666656732559,0,0,0,1,0.25,0,0,3,3,2,1,3,3,1,0.75,0,0,0.25,0,0.5,0.100000023841858,0.550000011920929,0.050000011920929,0.25,0,0.694444417953491,-0.166666626930237,0.203703716397285,-0.111111119389534,0.1875,-0.0833333358168602,0,-0.111111119389534,0,-0.0833333358168602
2674,9,1,42,9,4,2,4,1,4,1,3,5,3,5,10,3,2,5,3,3,2,6,7,4,NA,NA,NA,NA,NA,53,9,NA,2,2,1,2,2674,0,4,2017,0,3,42,2,3,0,0,1,9,9,8,8,8,9,3,0.727272748947144,0.333333343267441,0,0.400000005960464,2,1,1,1,1,1,0.5,1,0.75,0.666666686534882,0.333333343267441,0.333333343267441,0.16666667163372,0.833333313465118,1,0.555555582046509,0.25,4,6,4,1,4,7,5,5,3,0.555555582046509,0.583333313465118,NA,NA,NA,NA,NA,0,0,NA,3,3,0,2,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2674,10,1,43,9,4,3,4,3,3,4,2,3,4,3,9,3,2,4,4,4,2,3,6,5,2,2,2,2,NA,54,8,1,2,2,2,2,2674,1,4,2018,0,3,42,2,3,0,0,1,8,9,8,8,8,8,2,0.636363625526428,0.333333343267441,0,0.5,3,1,1,1,0,0.75,0.699999988079071,0.899999976158142,0.799999952316284,0.5,0.5,0.5,0.16666667163372,0.333333343267441,0.833333313465118,0.472222208976746,0.25,4,5,4,3,3,4,6,3,4,0.5,0.5,0,0,0,0,0,0,0,NA,3,3,0,2,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2674,11,1,44,9,5,3,4,2,4,3,2,3,5,7,9,2,2,3,4,3,2,2,5,5,2,2,2,2,NA,53,8,1,2,2,2,2,2674,2,4,2019,0,3,42,2,3,0,0,1,8,9,8,8,8,8,2,0.636363625526428,0.666666686534882,1,0.5,3,1,1,1,0,0.75,0.300000011920929,0.899999976158142,0.600000023841858,0.333333343267441,0.5,0.333333343267441,0.16666667163372,0.16666667163372,0.666666686534882,0.361111104488373,0.25,5,5,4,2,4,5,6,3,5,0.555555582046509,0.541666686534882,0,0,0,0,0,0,0,NA,3,3,0,2,NA,1,0,0,0,1,-0.25,0.400000005960464,0.0999999940395355,0.75,0.0499999523162842,0.25,0,0.555555582046509,-0.0833333730697632,0.555555582046509,-0.0555555820465088,0.583333313465118,-0.0833333134651184,0,-0.0555555820465088,0,-0.0833333134651184
2674,12,1,45,9,3,6,4,4,2,3,2,4,5,5,10,2,2,3,7,4,2,2,7,5,2,2,2,2,NA,53,8,1,2,2,2,2,2674,3,4,2020,0,3,42,2,3,0,0,1,8,9,8,8,8,8,2,0.636363625526428,0.666666686534882,1,0.5,3,1,1,1,0,0.75,0.5,1,0.75,0.333333343267441,1,0.5,0.16666667163372,0.16666667163372,1,0.527777791023254,0.25,3,2,4,4,2,5,6,4,5,0.481481462717056,0.458333343267441,0,0,0,0,0,0,0,NA,3,3,0,2,NA,1,0,0,0,0.75,0,0.5,0,0.799999952316284,-0.199999928474426,0.25,0,0.472222208976746,-0.111111104488373,0.5,0.0555555820465088,0.5,0.0416666865348816,0.0555555820465088,0,0.0416666865348816,0
