Con,AgtId,Dat,Stage,StageSub,GeWom,Del_N,NADel_N,FemDel_Bin,FemDel_N,FemDel_P,Sig_N,FemSig_N,FemSig_P,Ob_N,FemOb_N,FemOb_P,Neg_N,FemNeg_N,FemNeg_P,Med_N,FemMed_N,FemMed_P,Log_N,FemLog_N,FemLog_P,Adv_N,FemAdv_N,FemAdv_P,WomCom_N,WomCom_P,FemWomCom_N,FemWomCom_P
South Sudan,1675,2014-05-09,SubComp,FrAg,1,6,0,0,0,0,2,0,0,3,0,,0,0,,1,0,0,0,0,,0,0,,0,0,0,
South Sudan,2112,2018-09-12,SubComp,FrAg,1,46,11,1,6,0.130434783,10,0,0,17,0,0,17,6,0.352941176,2,0,0,0,0,,0,0,,0,0,0,
South Sudan,2286,2016-04-02,SubComp,FrAg,1,7,1,1,1,0.142857143,2,0,0,1,0,0,3,1,0.333333333,1,0,0,0,0,,0,0,,0,0,0,
South Sudan,2310,2020-03-06,SubComp,FrAg,1,26,0,1,6,0.230769231,23,6,0.260869565,3,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
South Sudan/Sudan,337,2005-01-09,SubComp,FrAg,1,16,0,1,2,0.125,2,0,0,14,2,0.142857143,0,0,,0,0,,0,0,,0,0,,0,0,0,
South Sudan/Sudan,1800,2005-07-06,SubComp,FrCons,1,2,0,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
South Sudan/Sudan/Southern Kordofan - Blue Nile - Abyei,1673,2010-01-25,SubComp,FrAg,1,13,0,0,0,0,11,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Sri Lanka,1007,2000-08-03,SubComp,FrCons,1,211,1,1,13,0.061611374,2,0,0,0,0,,209,13,0.062200957,0,0,,0,0,,0,0,,0,0,0,
Sudan,1060,2005-06-18,SubComp,FrAg,1,5,0,0,0,0,2,0,0,0,0,,2,0,0,1,0,0,0,0,,0,0,,0,0,0,
Sudan,2325,2020-10-03,SubComp,FrAg,1,28,9,0,0,0,14,0,0,10,0,0,0,0,,0,0,,0,0,,1,0,0,0,0,0,
Sudan/Darfur,350,2006-05-05,SubComp,FrAg,1,18,1,1,1,0.055555556,3,0,0,15,1,0.066666667,0,0,,0,0,,0,0,,0,0,,0,0,0,
Sudan/Darfur,853,2011-05-31,SubComp,FrAg,1,20,20,0,0,0,1,0,0,19,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,
Sudan/Eastern Sudan,373,2006-06-19,SubComp,,1,3,3,0,0,0,2,0,0,0,0,,0,0,,1,0,0,0,0,,0,0,,0,0,0,
Syria,1865,2013-02-18,SubComp,FrAg,0,2,2,0,0,0,2,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Yemen,2227,2019-04-07,SubComp,FrAg,0,48,8,0,0,0,41,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,
Zimbabwe,1340,2013-03-19,SubComp,FrCons,1,NA,NA,1,NA,0.22,1,0,0,0,0,,NA,0,NA,0,0,,0,0,,0,0,,0,NA,0,
